# APEX, Llano de Chajnantor, alt. 5100m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
            0.500    0.800    1.000    1.500    2.000 
 224.200    0.971    0.959    0.952    0.933    0.914 
 224.300    0.971    0.959    0.952    0.933    0.914 
 224.400    0.971    0.959    0.952    0.933    0.914 
 224.500    0.971    0.959    0.952    0.933    0.913 
 224.600    0.971    0.959    0.951    0.932    0.913 
 224.700    0.970    0.959    0.951    0.932    0.913 
 224.800    0.970    0.959    0.951    0.932    0.913 
 224.900    0.970    0.959    0.951    0.932    0.913 
 225.000    0.970    0.959    0.951    0.932    0.913 
 225.100    0.970    0.959    0.951    0.932    0.913 
 225.200    0.970    0.959    0.951    0.932    0.912 
 225.300    0.970    0.959    0.951    0.932    0.912 
 225.400    0.970    0.958    0.951    0.931    0.912 
 225.500    0.970    0.958    0.951    0.931    0.912 
 225.600    0.970    0.958    0.950    0.931    0.911 
 225.700    0.969    0.958    0.950    0.930    0.911 
 225.800    0.968    0.957    0.949    0.930    0.910 
 225.900    0.967    0.955    0.948    0.928    0.909 
 226.000    0.962    0.950    0.942    0.923    0.904 
 226.100    0.961    0.949    0.942    0.922    0.903 
 226.200    0.967    0.955    0.948    0.928    0.909 
 226.300    0.968    0.957    0.949    0.930    0.910 
 226.400    0.969    0.957    0.950    0.930    0.911 
 226.500    0.969    0.958    0.950    0.931    0.911 
 226.600    0.970    0.958    0.950    0.931    0.912 
 226.700    0.970    0.958    0.950    0.931    0.912 
 226.800    0.970    0.958    0.951    0.931    0.912 
 226.900    0.970    0.958    0.951    0.931    0.912 
 227.000    0.970    0.958    0.951    0.931    0.912 
 227.100    0.970    0.959    0.951    0.931    0.912 
 227.200    0.970    0.959    0.951    0.931    0.912 
 227.300    0.970    0.959    0.951    0.931    0.912 
 227.400    0.970    0.959    0.951    0.931    0.912 
 227.500    0.970    0.959    0.951    0.931    0.912 
 227.600    0.970    0.959    0.951    0.931    0.912 
 227.700    0.970    0.959    0.951    0.931    0.912 
 227.800    0.970    0.958    0.951    0.931    0.912 
 227.900    0.970    0.958    0.951    0.931    0.912 
 228.000    0.970    0.958    0.951    0.931    0.912 
 228.100    0.970    0.958    0.951    0.931    0.912 
 228.200    0.970    0.958    0.951    0.931    0.912 
 228.300    0.970    0.958    0.951    0.931    0.912 
 228.400    0.970    0.958    0.951    0.931    0.912 
 228.500    0.970    0.958    0.951    0.931    0.912 
 228.600    0.970    0.958    0.950    0.931    0.912 
 228.700    0.970    0.958    0.950    0.931    0.912 
 228.800    0.970    0.958    0.950    0.931    0.912 
 228.900    0.969    0.958    0.950    0.931    0.911 
 229.000    0.969    0.958    0.950    0.931    0.911 
 229.100    0.969    0.958    0.950    0.931    0.911 
 229.200    0.969    0.957    0.950    0.930    0.911 
 229.300    0.969    0.957    0.949    0.930    0.911 
 229.400    0.968    0.956    0.949    0.929    0.910 
 229.500    0.966    0.954    0.947    0.927    0.908 
 229.600    0.962    0.950    0.943    0.923    0.904 
 229.700    0.967    0.955    0.948    0.928    0.909 
 229.800    0.968    0.956    0.949    0.929    0.910 
 229.900    0.968    0.957    0.949    0.930    0.910 
 230.000    0.968    0.957    0.949    0.930    0.910 
 230.100    0.968    0.957    0.949    0.930    0.910 
 230.200    0.968    0.957    0.949    0.929    0.910 
 230.300    0.968    0.957    0.949    0.929    0.910 
 230.400    0.968    0.956    0.949    0.929    0.910 
 230.500    0.968    0.956    0.948    0.929    0.909 
 230.600    0.967    0.956    0.948    0.928    0.909 
 230.700    0.967    0.955    0.947    0.928    0.908 
 230.800    0.966    0.954    0.946    0.927    0.907 
 230.900    0.964    0.953    0.945    0.925    0.906 
 231.000    0.962    0.950    0.942    0.923    0.904 
 231.100    0.956    0.945    0.937    0.918    0.898 
